ref_area,time,sex,obs_value_unempl_rate,obs_value_informal,obs_value_worked_hours,obs_value_NEET,obs_value_PKB,obs_value_economic_freedom_overall,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Austria,2017,Female,5.097,1.949,2008.303,7.541,130180.86,72.3,86.0,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87.0,90.0,70.0
Austria,2017,Male,5.97,1.365,2254.404,13.188,130180.86,72.3,86.0,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87.0,90.0,70.0
Austria,2017,Total,5.561,1.626,4262.707,10.454,130180.86,72.3,86.0,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87.0,90.0,70.0
Austria,2018,Female,4.731,2.281,2027.112,8.752,131289.27,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0
Austria,2018,Male,5.111,1.938,2295.549,12.013,131289.27,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0
Austria,2018,Total,4.933,2.094,4322.661,10.422,131289.27,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0
Austria,2019,Female,4.424,2.76,2045.725,9.221,132120.51,72.0,84.2,77.4,71.3,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0
Austria,2019,Male,4.68,1.845,2313.171,12.723,132120.51,72.0,84.2,77.4,71.3,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0
Austria,2019,Total,4.56,2.255,4358.896,11.008,132120.51,72.0,84.2,77.4,71.3,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0
Austria,2020,Female,5.016,2.363,2033.044,8.504,124678.97,73.3,87.3,84.0,73.2,51.3,27.2,87.9,73.0,68.3,81.0,86.4,90.0,70.0
Austria,2020,Male,5.365,1.667,2285.326,14.206,124678.97,73.3,87.3,84.0,73.2,51.3,27.2,87.9,73.0,68.3,81.0,86.4,90.0,70.0
Austria,2020,Total,5.201,1.978,4318.37,11.419,124678.97,73.3,87.3,84.0,73.2,51.3,27.2,87.9,73.0,68.3,81.0,86.4,90.0,70.0
