ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Total;2020;6078.509;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: No hours actually worked;2020;2.699;Unreliable;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 1-14;2020;834.974;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 15-29;2020;1097.97;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 30-34;2020;298.47;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 35-39;2020;393.909;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 40-48;2020;1185.432;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 49+;2020;2039.549;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Not elsewhere classified;2020;225.506;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Total;2020;4937.784;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: No hours actually worked;2020;1.807;Unreliable;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 1-14;2020;385.529;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 15-29;2020;758.532;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
