ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Services;2021;66.484;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Not classified;2021;100;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Total;2021;86.125;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Agriculture;2021;99.15;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Manufacturing;2021;84.981;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Construction;2021;89.331;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply";2021;60.596;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2021;76.227;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2021;39.839;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Aggregate): Not classified;2021;97.36;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Total;2021;82.633;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Agriculture;2021;98.841;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Manufacturing;2021;67.835;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Construction;2021;89.182;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
