ref_area.label;source.label;indicator.label;sex.label;time;obs_value_NEET;obs_status.label;note_indicator.label;note_source.label
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2018;25.531;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2018;27.772;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2017;26.227;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2017;25.084;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2017;27.608;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2016;27.391;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2016;27.192;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2016;27.622;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2015;29.816;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2015;28.485;;;Repository: ILO-STATISTICS - Micro data processing
Albania;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2015;31.283;;;Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2023;8.917;;;Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2023;5.95;;;Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2023;14.891;;;Repository: ILO-STATISTICS - Micro data processing
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2023;15.028;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2023;13.397;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2023;16.734;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2022;15.872;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2022;13.994;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2022;17.848;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2021;16.118;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2021;13.767;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2021;18.558;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2020;22.328;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2020;21.004;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2020;23.67;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2019;19.228;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2019;16.833;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2019;21.694;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2018;19.023;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
